gene_name	log2FoldChange	log2FC.shrink	pvalue	padj	de_vector	condition
CJJ81176_1072	-0.044191434071997535	-0.030843836220170333	0.7144741955579558	0.8486500275373142	0	As
CJJ81176_1073	-0.49720782477190006	-0.2383186715748554	0.07537042744444716	0.20161564864116918	0	As
CJJ81176_1074	-0.3521018319198529	-0.3188596338264199	4.1305446079630974e-4	0.004792525929239302	-1	As
CJJ81176_1075	0.2466736424199993	0.18942250062316815	0.06687361384385339	0.1836403941292024	0	As
CJJ81176_1076	0.17707669202604118	0.13914714344249016	0.12823023473121778	0.29367238071776935	0	As
CJJ81176_1077	-1.0681297299430026	-0.00929559039602501	0.6145767573814926	NA	0	As
CJJ81176_1078	0.1554281239054782	0.12088129607395978	0.18318495139491367	0.37636877153929216	0	As
CJJ81176_1079	-0.014874831298993254	-0.014925758788780719	0.8790245403685486	0.9373408367167968	0	As
CJJ81176_1080	-0.0328934692141241	-0.029889286882899924	0.6150527592593338	0.7876991478233573	0	As
CJJ81176_1081	-0.09221946102151232	-0.060100583844713375	0.573289571566638	0.7546230874415851	0	As
CJJ81176_1082	0.23494790831516424	0.055044155398473966	0.5404985962216741	0.7284258004464408	0	As
CJJ81176_1083	0.2246809741216465	0.1670325070679627	0.10499607840063079	0.25496896280604747	0	As
CJJ81176_1084	0.07928647017029657	0.036808541033575254	0.7248068583744813	0.8574352571722426	0	As
CJJ81176_1085	0.01789765704863198	0.008029345102408636	0.9334909717419984	0.9677747701354161	0	As
CJJ81176_1086	0.04830376909611637	0.03338013225357015	0.731352555156028	0.8582257817681278	0	As
CJJ81176_1087	0.2753054375750115	0.16736353864679052	0.15295898918270662	0.3320745341364337	0	As
CJJ81176_1088	0.2460588146996047	0.18962480752571917	0.06676398494235306	0.18362716109733523	0	As
CJJ81176_1089	0.6352103629714672	0.5828182747587929	5.3596778749509085e-6	1.5915518028667783e-4	1	As
CJJ81176_1090	0.5832094304439837	0.5059501758839742	3.0225655061308826e-4	0.003922618345734301	1	As
CJJ81176_1091	0.13684733364830537	0.11372275320397374	0.17871666034736317	0.3701082611448939	0	As
CJJ81176_1092	-0.13417224546510143	-0.10097706326674348	0.2955396314551739	0.515644759727811	0	As
CJJ81176_1093	-0.20720168408762368	-0.12016897022852516	0.27163908490491623	0.48811454025991097	0	As
CJJ81176_1094	-0.14157939468352457	-0.07038501790848843	0.47760590410478027	0.6809641439755236	0	As
CJJ81176_1095	-0.024503283531023108	-0.002570594273093119	0.9719359146776373	0.9854350246037156	0	As
